Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Basic,Unemployed,0,Married,67,0,2,Offer2,Four-Door Car,7824
Basic,Employed,63357,Married,101,0,5,Offer2,SUV,8005
Basic,Employed,64125,Married,108,0,3,Offer2,SUV,8646
Basic,Employed,67544,Married,116,0,3,Offer1,SUV,9294
Basic,Retired,19651,Married,72,0,5,Offer2,Two-Door Car,5595
Extended,Employed,23589,Married,211,0,6,Offer2,Luxury SUV,16570
Extended,Employed,74126,Married,90,0,1,Offer2,Two-Door Car,3653
Extended,Employed,31409,Married,93,0,2,Offer1,Four-Door Car,11154
Basic,Employed,58577,Married,110,0,1,Offer1,SUV,4428
Basic,Retired,19683,Married,117,1,9,Offer1,Sports Car,8382
Basic,Employed,30598,Married,106,0,1,Offer3,SUV,4198
Basic,Unemployed,0,Divorced,112,2,1,Offer1,SUV,3839
Basic,Employed,51159,Married,72,0,1,Offer2,Four-Door Car,2860
Basic,Employed,44509,Married,61,0,1,Offer3,Four-Door Car,2446
Basic,Employed,73274,Married,105,0,2,Offer3,SUV,12694
Basic,Employed,74905,Single,72,0,3,Offer1,Four-Door Car,5714
Basic,Unemployed,0,Single,104,0,3,Offer3,SUV,7218
Premium,Employed,88895,Single,108,0,8,Offer1,Four-Door Car,8500
Extended,Employed,40672,Divorced,121,0,3,Offer1,SUV,9559
Basic,Employed,70340,Married,113,0,1,Offer1,Sports Car,4540
Basic,Employed,44818,Divorced,68,0,2,Offer1,Four-Door Car,7950
Premium,Employed,84488,Married,182,0,2,Offer1,SUV,20120
Premium,Unemployed,0,Single,107,0,3,Offer1,Four-Door Car,7664
Basic,Unemployed,0,Married,104,3,7,Offer1,Sports Car,7341
Extended,Unemployed,0,Single,84,0,1,Offer3,Four-Door Car,2876
Basic,Employed,61546,Married,68,0,3,Offer4,Two-Door Car,5439
Basic,Unemployed,0,Married,61,1,1,Offer4,Two-Door Car,2124
Extended,Employed,37384,Married,93,1,1,Offer2,Four-Door Car,3673
Basic,Medical Leave,17483,Married,183,0,1,Offer2,Luxury Car,7126
Basic,Medical Leave,10269,Single,65,0,3,Offer1,Two-Door Car,4525
Basic,Employed,54289,Married,62,0,2,Offer2,Four-Door Car,7385
Basic,Employed,33190,Divorced,106,0,2,Offer1,SUV,33473
Extended,Employed,23649,Married,122,0,6,Offer1,SUV,9706
Extended,Unemployed,0,Divorced,128,0,2,Offer1,SUV,17530
Extended,Employed,43736,Married,128,0,3,Offer1,SUV,10209
Extended,Employed,52693,Married,129,0,5,Offer1,SUV,10248
Basic,Medical Leave,16208,Married,70.93935786,0,1,Offer2,Four-Door Car,2935
Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car,2582
Basic,Unemployed,0,Single,110,1,5,Offer3,SUV,6863
Basic,Disabled,25539,Married,112,1,7,Offer2,SUV,8566
Basic,Medical Leave,16244,Married,68,0,1,Offer4,Two-Door Car,2523
Premium,Employed,53787,Married,104,0,1,Offer1,Four-Door Car,4150
Basic,Employed,85355,Married,71,2,2,Offer2,Two-Door Car,8405
Basic,Employed,69040,Married,108,0,1,Offer1,Sports Car,4327
